Comparator,File,Size (#),Build (ms),Iterate (ms),Contains (ms)
StringByLex,iliad.txt,7885,66,0,0
StringReverseByLex,iliad.txt,7885,444,1,0
StringWithOutPrefixByLex,iliad.txt,4606,72,0,0

StringByLex,hippooath_DUPLICATES.txt,230,52,0,0
StringReverseByLex,hippooath_DUPLICATES.txt,230,274,0,0
StringWithOutPrefixByLex,hippooath_DUPLICATES.txt,218,51,0,0

